"","HR","P","P.adjusted"
"LOC100130426",1.12,0.909,0.990797024267047
"UBE2Q2P3",1.03,0.922,0.993350301188474
"HMGB1P1",0.66,0.128,0.714618672665917
"TIMM23",0.89,0.678,0.952865413161801
"LOC155060",1.26,0.398,0.872395044052863
"RNU12-2P",0.93,0.784,0.974305086840967
"SSX9",1.46,0.707,0.960826030487388
"EZHIP",1.17,0.567,0.92790841136849
"EFCAB8",1.02,0.936,0.996375764075067
"SRP14P1",0.67,0.143,0.725710378323108
"LOC391343",2.61,0.006,0.486195918367347
"TRIM75P",1.05,0.871,0.985971205382598
"SDR16C6P",1.39,0.743,0.967708390736732
"LOC553137",0.99,0.956,0.999264993941842
"KIAA1618",0.84,0.516,0.915228088984187
"LOC645851",0.88,0.629,0.942602306127063
"RGPD7",1.07,0.796,0.974612935016939
"HSPB1P1",0.7,0.179,0.753378630485478
"LOC594835",0.33,0.006,0.486195918367347
"ANKRD20A20P",1.22,0.478,0.904990844936105
"TMPRSS11E2",1.1,0.724,0.965057875654626
"GTPBP6",1.02,0.944,0.998254607435816
"EFCAB12",2.12,0.008,0.501022082018928
"A1BG",0.94,0.824,0.978401435406699
"A1CF",0.71,0.258,0.79682736711607
"RBFOX1",0.84,0.519,0.916292307692308
"GGACT",0.92,0.761,0.969962313816127
"A2ML1",0.72,0.229,0.781157560137457
"A2M",1.61,0.084,0.65993351800554
"P1",1.13,0.64,0.945380952380952
"A4GNT",0.84,0.506,0.912077174505175
"NPSR1-AS1",1.55,0.46,0.897884180513224
"AAAS",1.31,0.316,0.831263813435802
"AACSP1",0.89,0.656,0.949378043446567
"AACS",0.47,0.007,0.491063604240283
"AADACL2",1.28,0.538,0.920768448275862
"AADACL3",1.93,0.127,0.712240395480226
"AADACL4",1.14,0.827,0.978993746649991
"AADAC",0.96,0.868,0.985215482248013
"AADAT",0.88,0.62,0.941709989340643
"AAGAB",0.71,0.211,0.770533709912536
"DKFZp686K16132",0.73,0.245,0.787179964395533
"AAMP",0.97,0.901,0.990341767246152
"AANAT",1.01,0.969,0.999264993941842
"AARS2",0.91,0.726,0.965426822742475
"AARSD1",0.95,0.845,0.982131315496751
"AARS",0.58,0.045,0.592037773359841
"AASDHPPT",0.92,0.766,0.971284281790892
"AASDH",1.24,0.423,0.880693869010253
"AASS",1.5,0.133,0.720056994818653
"AATF",0.77,0.334,0.843948326333206
"AATK",1.49,0.143,0.725710378323108
"ABAT",1.47,0.153,0.734585006045949
"ABCA10",1.53,0.116,0.702601633393829
"ABCA11P",2.29,0.004,0.453782857142857
"ABCA12",0.82,0.463,0.898360834796177
"ABCA13",1.1,0.724,0.965057875654626
"ABCA17P",1.14,0.623,0.941709989340643
"TGD",0.93,0.795,0.974387887393505
"ABCA2",1.38,0.235,0.783757350512058
"ABCA3",0.96,0.882,0.987895125387433
"STGD1",1.07,0.808,0.976753577300128
"ABCA5",2.4,0.002,0.42694623655914
"ABCA6",1.56,0.104,0.690770157243225
"ABCA7",1.02,0.939,0.997105150673221
"ABCA8",1.44,0.175,0.748927570597111
"ABCA9",1.51,0.125,0.710660080183276
"ABCB10",0.81,0.423,0.880693869010253
"PFIC2",1.41,0.205,0.768188939222348
"ABCB1",2,0.013,0.525410207939509
"ABCB4",1.09,0.742,0.967103860294118
"ABCB5",1.43,0.183,0.756737971255988
"ABCB6",0.65,0.116,0.702601633393829
"ABCB7",0.58,0.048,0.604659898477157
"ABCB8",0.79,0.393,0.871035765855826
"ABCB9",0.53,0.023,0.545542413381123
"ABCC10",1.19,0.508,0.91261641480409
"ABCC11",1.18,0.534,0.918753964814975
"ABCC12",0.97,0.922,0.993350301188474
"ABCC13",1.29,0.353,0.854439039258717
"ABCC1",1.35,0.266,0.801201783555018
"ABCC2",0.7,0.187,0.757500714139971
"ABCC3",1.21,0.479,0.905674952380952
"ABCC4",0.88,0.628,0.942450978909971
"ABCC5",0.87,0.595,0.935292704134061
"ABCC6P1",1.57,0.11,0.694602417302799
"ABCC6P2",1.2,0.51,0.913191626987692
"PXE",0.92,0.767,0.971497448003062
"ABCC8",1.02,0.929,0.995108377301604
"ABCC9",0.98,0.933,0.995637981079338
"ABCD1",0.8,0.398,0.872395044052863
"ABCD2",1.54,0.109,0.694249919794674
"ABCD3",1.32,0.308,0.825880551096843
"ABCD4",1.35,0.272,0.805251416641813
"ABCE1",0.65,0.118,0.7034996996997
"ABCF1",0.45,0.006,0.486195918367347
"ABCF2",0.61,0.076,0.650637343682622
"ABCF3",0.72,0.215,0.771861663652803
"ABCG1",1.31,0.312,0.826105094691918
"ABCG2",0.95,0.855,0.983344983219535
"ABCG4",0.67,0.143,0.725710378323108
"ABCG5",1.05,0.855,0.983344983219535
"ABCG8",1.23,0.452,0.894850019944156
"ABHD10",1.2,0.503,0.911719072400256
"ABHD11",0.98,0.933,0.995637981079338
"ABHD12B",1.31,0.32,0.834598003152916
"C20orf22",0.56,0.032,0.56121554770318
"ABHD13",1.29,0.351,0.853657111356119
"ABHD14A",1.81,0.035,0.566765905383361
"ABHD14B",0.58,0.048,0.604659898477157
"ABHD15",1.17,0.565,0.927863760443378
"ABHD1",1.47,0.158,0.737370474847203
"ABHD2",1.23,0.445,0.891391887801433
"ABHD3",1.26,0.393,0.871035765855826
"ABHD4",1.28,0.364,0.859171561051005
"ABHD5",1.12,0.676,0.95229035691478
"ABHD6",1.29,0.345,0.849155095462435
"ABHD8",1.31,0.323,0.837034199190706
"ABI1",0.89,0.666,0.951435417716054
"ABI2",1.05,0.848,0.982569394186997
"ABI3BP",2.13,0.006,0.486195918367347
"ABI3",1.34,0.274,0.806721340649563
"ABL1",1.26,0.394,0.871035765855826
"ABL2",1.63,0.075,0.647662026968247
"ABLIM1",0.79,0.387,0.86891866892273
"ABLIM2",1.08,0.762,0.970268959774532
"ABLIM3",1.22,0.462,0.898167450058754
"ABO",1.7,0.052,0.610861538461538
"AOC1",0.73,0.254,0.795372555205047
"ABRA",1.95,0.018,0.528630177514793
"ABR",1.1,0.735,0.96616268291068
"ABT1",0.61,0.066,0.634834302325581
"ABTB1",1.02,0.927,0.995011407871972
"ABTB2",0.79,0.395,0.871035765855826
"ACAA1",1.03,0.91,0.991016456390565
"ACAA2",1.13,0.638,0.944606626954579
"ACACA",0.78,0.347,0.851544004944376
"ACACB",1.55,0.107,0.693666774506632
"ACAD10",1.02,0.949,0.999124834279047
"ACAD11",1.43,0.189,0.758815127740897
"ACAD8",0.79,0.37,0.860948195030473
"ACAD9",0.62,0.073,0.644405958203646
"ACADL",1.62,0.077,0.652014315789474
"ACADM",1.55,0.108,0.693666774506632
"ACADSB",1.42,0.199,0.764167698259188
"ACADS",0.71,0.211,0.770533709912536
"ACADVL",1.16,0.589,0.932415038673152
"ACAN",0.51,0.014,0.525410207939509
"ACAP1",1.53,0.12,0.70487470657277
"ACAP2",0.75,0.286,0.812181089972822
"ACAP3",1,0.993,0.999264993941842
"ACAT1",0.87,0.597,0.935457063930545
"ACAT2",0.97,0.917,0.992379449441265
"ACBD3",0.7,0.183,0.756737971255988
"ACBD4",1.44,0.184,0.757500714139971
"ACBD5",0.51,0.017,0.528170579029734
"ACBD6",0.85,0.546,0.922609413567112
"ACBD7",0.9,0.704,0.960255032634833
"ASIC2",1.49,0.14,0.723513310933058
"ASIC1",0.79,0.367,0.860015462700661
"ASIC3",0.87,0.602,0.937667189706574
"ASIC4",1.18,0.545,0.92248998209566
"ASIC5",1.48,0.311,0.825880551096843
"ACCSL",0.56,0.151,0.733317759295499
"ACCS",1.42,0.197,0.763427874292407
"ACD",1.01,0.984,0.999264993941842
"ACE2",0.92,0.755,0.96906430785124
"ASAH3",0.82,0.457,0.897144368634431
"ACER2",1,0.995,0.999264993941842
"ACER3",0.87,0.606,0.939139117601367
"ACE",1.17,0.553,0.925649048981653
"ACHE",0.91,0.735,0.96616268291068
"ACIN1",1.61,0.082,0.657490306946688
"ACLY",0.79,0.388,0.86891866892273
"ACMSD",1.23,0.444,0.890736863379143
"SDHAF3",1.15,0.608,0.939139117601367
"IREB1",1.28,0.36,0.857066794579686
"ACO2",0.87,0.612,0.939687205621187
"ACOT11",0.81,0.436,0.886312710223219
"ACOT12",1.1,0.75,0.96903698167165
"ACOT13",1.29,0.34,0.845020030045068
"ACOT1",1.5,0.138,0.723513310933058
"ACOT2",1.47,0.159,0.738046995557634
"ACOT4",1.57,0.102,0.689011908812521
"ACOT6",1.03,0.919,0.992866075315629
"ACOT7",0.69,0.176,0.749169811320755
"ACOT8",0.49,0.011,0.523700239808153
"ACOT9",0.97,0.895,0.989388885795423
"ACOX1",1,0.995,0.999264993941842
"ACOX2",1.12,0.665,0.951101865859808
"ACOX3",0.9,0.708,0.960826030487388
"ACOXL",1.15,0.607,0.939139117601367
"ACP1",1.41,0.209,0.770533709912536
"ACP2",1.5,0.136,0.723513310933058
"ACP5",1.2,0.508,0.91261641480409
"ACP6",1.27,0.372,0.862166238617791
"PXYLP1",1.36,0.252,0.795256080114449
"ACPP",1.18,0.541,0.922245663747209
"ACPT",1.14,0.65,0.947672027612543
"ACRBP",1,0.999,0.999704975049146
"NAAR1",1.24,0.416,0.879403123008285
"ACRV1",0.85,0.556,0.926029194630873
"ACR",1.21,0.475,0.903359996168215
"ACSBG1",1.09,0.756,0.96906430785124
"ACSBG2",1.37,0.239,0.783757350512058
"ACSF2",1.09,0.758,0.969404722079259
"ACSF3",0.98,0.928,0.995108377301604
"FACL1",0.61,0.072,0.641281292059219
"PRO2194",0.79,0.38,0.86634588883785
"MRX63",1.34,0.282,0.810735786435786
"ACSL5",1.47,0.155,0.737370474847203
"ACSL6",1.14,0.629,0.942602306127063
"ACSM1",1.49,0.145,0.7277273412001
"ACSM2A",1.21,0.528,0.917787031372892
"ACSM2B",0.72,0.31,0.825880551096843
"ACSM3",1.5,0.137,0.723513310933058
"ACSM4",0.83,0.605,0.938657783682401
"ACSM5",1.42,0.2,0.764454597701149
"ACSS1",1.25,0.411,0.876869210977701
"ACSS2",0.81,0.437,0.886312710223219
"ACSS3",0.98,0.933,0.995637981079338
"ACTA1",1.22,0.462,0.898167450058754
"ACTA2",0.95,0.859,0.983774271704644
"ACTBL2",0.91,0.713,0.962283412644459
"ACTB",0.65,0.114,0.70026051980198
"ACTC1",0.77,0.336,0.844273889381091
"DFNA26",0.74,0.276,0.809249446167479
"ACTG2",1.5,0.137,0.723513310933058
"ACTL6A",0.88,0.625,0.942303633610901
"ACTL6B",0.87,0.712,0.962176570689538
"ACTL7A",1.06,0.9,0.990119694115039
"ACTL7B",1.46,0.249,0.792211057692308
"ACTL8",0.56,0.038,0.573262917933131
"ACTL9",25575871.77,0.996,0.999264993941842
"ACTN1",1.11,0.704,0.960255032634833
"ACTN2",1.23,0.446,0.892404555533159
"ACTN3",1.11,0.695,0.957284053960567
"FSGS1",0.94,0.813,0.977046070133011
"ACTR10",1.32,0.301,0.821183592139618
"ACTR1A",0.97,0.904,0.990797024267047
"ACTR1B",0.82,0.461,0.897982044740973
"ACTR2",1.02,0.937,0.996638682025181
"ACTR3B",0.99,0.971,0.999264993941842
"ACTR3C",1.22,0.46,0.897884180513224
"ACTR3",0.64,0.105,0.69277666999003
"ACTR5",0.75,0.295,0.817509073143495
"ACTR6",0.49,0.012,0.524748898678414
"ACTR8",1.16,0.586,0.932415038673152
"ACTRT1",1.24,0.674,0.952165340343897
"ACVR1B",1.42,0.191,0.759143743743744
"ACVR1C",1.28,0.36,0.857066794579686
"ACVR1",1.16,0.573,0.929013393221723
"ACVR2A",0.96,0.88,0.987153350661092
"ACVR2B",1.32,0.31,0.825880551096843
"ACVRL1",1.1,0.732,0.965992821058229
"ACY1",0.98,0.944,0.998254607435816
"ACY3",1.31,0.321,0.83555959092697
"ACYP1",1.25,0.406,0.874505587501356
"ACYP2",0.85,0.537,0.920723810346317
"ADAD1",1.7,0.464,0.898360834796177
"ADAD2",0.95,0.844,0.981946319737459
"ADAL",1.36,0.252,0.795256080114449
"ADAM10",1.53,0.119,0.704174962742176
"ADAM11",0.98,0.932,0.995534057893038
"ADAM12",1.21,0.481,0.906607139466439
"ADAM15",0.76,0.3,0.820597960870763
"ADAM17",1.26,0.396,0.871691761836124
"ADAM18",1.28,0.572,0.928301806588735
"ADAM19",0.92,0.755,0.96906430785124
"ADAM20",1.37,0.245,0.787179964395533
"ADAM21P1",0.72,0.232,0.782566232447978
"ADAM21",1.38,0.235,0.783757350512058
"MDC2",1.53,0.121,0.70487470657277
"ADAM23",1.01,0.971,0.999264993941842
"ADAM28",1.78,0.039,0.578674887892377
"ADAM29",1.76,0.043,0.587528561596697
"ADAM2",1.14,0.7,0.95820386945745
"ADAM30",1.01,0.978,0.999264993941842
"ADAM32",0.87,0.601,0.936844613693467
"ADAM33",1.66,0.063,0.630730711043873
"ADAM3A",0.75,0.684,0.953345408593092
"ADAM5",0.4,0.035,0.566765905383361
"ADAM6",1.57,0.1,0.686242654683719
"ADAM7",0.42,0.098,0.682664561403509
"ADAM8",0.72,0.228,0.780966873706004
"ADAM9",0.8,0.399,0.872395044052863
"ADAMDEC1",0.86,0.568,0.92790841136849
"ADAMTS10",1.31,0.321,0.83555959092697
"ADAMTS12",1.15,0.603,0.93834135444427
"DKFZp434C2322",1.08,0.763,0.970268959774532
"ADAMTS14",0.78,0.357,0.856912223431266
"ADAMTS15",1.3,0.339,0.844543480988832
"ADAMTS16",1.17,0.55,0.925038122670281
"ADAMTS17",1.37,0.249,0.792211057692308
"ADAMTS18",1.45,0.166,0.745273179556762
"ADAMTS19",0.97,0.909,0.990797024267047
"ADAMTS1",1.05,0.85,0.982947579706772
"ADAMTS20",0.85,0.549,0.924060788469691
"ADAMTS2",0.64,0.102,0.689011908812521
"KIAA0366",0.84,0.522,0.917184352597575
